item_code,item_description,supplier_name,code
25103000,Stud 92mm X 0.55 Bmt 3000                         ,RONDO,16010
25103100,Stud 92mm x 0.55 Bmt 3100                         ,RONDO,16010
25103145,Stud 92mm X 0.55 Bmt 3145                         ,RONDO,16010
25103300,Stud 92mm X 0.55 Bmt 3300                         ,RONDO,16010
25103600,Stud 92mm X 0.55 Bmt 3600                         ,RONDO,16010
25104100 (SPEC),Stud 92mm x 0.55 Bmt 4100 (SPEC)                  ,RONDO,16010
25104200,Stud 92mm X 0.55 Bmt 4200                         ,RONDO,16010
25104800,Stud 92mm X 0.55 Bmt 4800                         ,RONDO,16010
25106000,Stud 92mm X 0.55 Bmt 6000                         ,RONDO,16010
2534,Clip Susp. T.C.R. One piece                       ,RONDO,16030
254M,Joiner For 5mm. Susp. Rod 565                     ,RONDO,16030
270,Joiner 90 Deg Suit 64mm S                         ,RONDO,16010
271,U Bracket Suit 64mm Stud                          ,RONDO,16010
272,Joiner For Parts 127 & 128                        ,RONDO,16010
274,Bracket For Suspension Rod                        ,RONDO,16030
274699,AFEX9030 AccuFix External Angle 90 3000           ,RONDO,16010
275,220mm (h) Direct Fixing Clip – ‘THE-Clip®’ to Conc,RONDO,16030
282,F/C Wall Clip  for Membrane Insulation            ,RONDO,16030
30104800,Plasterboard Batten 4800                          ,RONDO,16010
30106000,Batten For Plasterboard 6000                      ,RONDO,16010
30304800,Batten Ceiling Cyclonic 4800                      ,RONDO,16010
30306100,Batten Ceiling Cyclonic 6100                      ,RONDO,16010
305,Clip D.F.For 301 X 150mm                          ,RONDO,16030
307,Clip Df #301 @ 90 Deg.                            ,RONDO,16030
30802865,16mm(h) x 38mm(face) Furring Channel 0.50bmt 2865 ,RONDO,16010
30803000,16mm Furring Channel 3000                         ,RONDO,16010
30803600,16mm Furring Channel 3600                         ,RONDO,16010
30804800,16mm Furring Channel 4800                         ,RONDO,16010
30806000,16mm Furring Channel 6000                         ,RONDO,16010
308R480000CV,16mm Furring Channel Conc                         ,RONDO,16010
309A3000,22mm (h) x 38mm (face) ARMOUR® Furring Chan 3000  ,RONDO,16010
309A3600,22mm Armour Furring Channel 3600                  ,RONDO,16010
309A4800,22mm (h) x 38mm (face) ARMOUR® Furring Chan 4800  ,RONDO,16010
309A6000,22mm (h) x 38mm (face) ARMOUR® Furring Chan 6000  ,RONDO,16010
31003600,35mm Ceiling Batten 3600                          ,RONDO,16010
31004800,35mm Ceiling Batten 4800                          ,RONDO,16010
31006000,35mm Ceiling Batten 6000                          ,RONDO,16010
311,Direct Fixing Clip P/No.3                         ,RONDO,16030
311D,Dual Purpose Batten Clip (310-303)                ,RONDO,16030
312,Joiner For P/No. 310                              ,RONDO,16010
313,Extended 310 D.F. Clip                            ,RONDO,16030
314,301 Direct Fixing Clip W/- Positioning  tab       ,RONDO,16030
315,Joiner For 301 Batten                             ,RONDO,16010
32103600CS00,AlumBulkheadTrim suit Pb Low Sheen Black Not avai ,RONDO,16010
32103600TW00,Bulkhead Trim Al.Suit 13m Cool White              ,RONDO,16010
33306000,13mm Recessed Furring Channel                     ,RONDO,16010
34003000,Track Suit P/No.310                               ,RONDO,16010
356,Clip Susp.Suit Part 359                           ,RONDO,16030
35700600TW00,Cross Runner Al 38mm 24mm cool White              ,RONDO,16020
35701200TW00,Cross Runner Al 38mm 24mm cool White              ,RONDO,16020
358,Joiner for Alum Main Tee                          ,RONDO,16010
35903600TW30,24mm Face x38mm Alum L/W Main Tee Cool white      ,RONDO,16020
368T1200,Spline T 32mm Conc. Lockin                        ,RONDO,16020
36901187,Spline T 32mm Conc.                               ,RONDO,16010
37101187,Spline T 22mm Conc. 1200c                         ,RONDO,16010
390,301 Batten Swivel Clip                            ,RONDO,16030
394,Clip D.F. 175mm For F/Channel                     ,RONDO,16030
3MSPRAYAD,Drywall Corner Bead 61 Spray Adhesive( 16.6oz.)   ,RONDO,10080
40003000,Track 51mm X 0.50 Bmt 3000                        ,RONDO,16010
40102400,Stud 51mm X 0.50 Bmt 2400                         ,RONDO,16010
40102700,Stud 51mm X 0.50 Bmt 2700                         ,RONDO,16010
40103000,Stud 51mm X 0.50 Bmt 3000                         ,RONDO,16010
40103300,Stud 51mm X 0.50 Bmt 3300                         ,RONDO,16010
40103600,Stud 51mm X 0.50 Bmt 3600                         ,RONDO,16010
40203000,Track 76mm X 0.55 Bmt 3000                        ,RONDO,16010
40203600,Track 76mm x 28mm 0.50bmt w hem 3600              ,RONDO,16010
40302400,Stud 76mm X 0.55 Bmt 2400                         ,RONDO,16010
40302700,Stud 76mm X 0.55 Bmt 2700                         ,RONDO,16010
40302800,Stud 76mm X 0.55 Bmt 2800                         ,RONDO,16010
40303000,Stud 76mm X 0.55 Bmt 3000                         ,RONDO,16010
40303300,Stud 76mm X 0.55 Bmt 3300                         ,RONDO,16010
40303600,Stud 76mm X 0.55 Bmt 3600                         ,RONDO,16010
40304200,Stud 76mm X 0.55 Bmt 4200                         ,RONDO,16010
40304800,Stud 76mm X 0.55 Bmt 4800                         ,RONDO,16010
44301200,Yoke T Concealed 1200                             ,RONDO,16010
48003000,D/H 64mm X 0.50 Bmt 3000                          ,RONDO,16010
48203000,D/H 76mm x 0.50bmt 3000                           ,RONDO,16010
48303000,D/H 92mm x 0.50bmt 3000                           ,RONDO,16010
48803000,Track D/H 51mm x 0.70mm 3000                      ,RONDO,16010
48902700,Stud 51mm X 0.75 Bmt 2700                         ,RONDO,16010
48902880,51mm (W0 x 36mm (h) Steel Stud - 0.75bmt @ 2880mm ,RONDO,16010
48903000,Stud 51mm X 0.75 Bmt 3000                         ,RONDO,16010
48903200,Stud 51mm X 0.75 Bmt 3200                         ,RONDO,16010
48903600,Stud 51mm X 0.75 Bmt 3600                         ,RONDO,16010
49003000,Track 51mm X 0.75 Bmt 3000                        ,RONDO,16010
49102400,Stud 64mm X 0.75 Bmt 2400                         ,RONDO,16010
49102700,Stud 64mm X 0.75 Bmt 2700                         ,RONDO,16010
